objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
214,Stafford,E07000197,Benzene annual mean Limit Value 2020,0.33,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{31012B6D-DE7D-40D4-BDD6-F9D5422B8383},159078.806627588,598172233.422377
215,Staffordshire Moorlands,E07000198,Benzene annual mean Limit Value 2020,0.36,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{69F1560E-4DA1-4CFD-9E32-6C543262B83A},152448.185289633,575849820.802262
216,Stevenage,E07000243,Benzene annual mean Limit Value 2020,0.5,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{DCCF093E-BF93-4D02-A178-61BE50E9A76C},28588.2613575799,25969241.2793979
217,Stockport,E08000007,Benzene annual mean Limit Value 2020,0.48,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{1295F12B-DFBA-4957-B9A6-DA6036331DC9},73638.7202371356,126040311.08168
218,Stockton-on-Tees,E06000004,Benzene annual mean Limit Value 2020,0.42,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{8B84AA10-B10E-470C-BC2F-6AFB1910A7F9},123408.985927677,204932953.781252
219,Stoke-on-Trent,E06000021,Benzene annual mean Limit Value 2020,0.45,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{6ED5FD5B-63A1-440B-8D04-20AF1A139483},63974.629003771,93448483.3505366
220,Stratford-on-Avon,E07000221,Benzene annual mean Limit Value 2020,0.7,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{14245504-3DEA-411A-ACC9-C775AFFF6B1C},261384.087125663,977869054.895253
221,Stroud,E07000082,Benzene annual mean Limit Value 2020,0.34,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{D04062D5-C181-44AA-B422-F38EFE5993CC},172782.192867585,460541975.21288
222,Sunderland,E08000024,Benzene annual mean Limit Value 2020,0.36,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{89FDB3C6-1F94-4CCF-B423-D834625EDC9A},99737.4118043337,137441171.443858
223,Surrey Heath,E07000214,Benzene annual mean Limit Value 2020,0.59,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{C860DAA4-B087-41E6-936F-DFF3F0057CAA},53559.7241713486,95092959.1736068
224,Swale,E07000113,Benzene annual mean Limit Value 2020,0.6,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{023C43FA-C892-4B06-90CE-9D2091C8B67E},347838.12354343,373436671.264401
225,Swindon,E06000030,Benzene annual mean Limit Value 2020,0.49,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{752421A6-2F2D-4899-9FAA-D3B5B27DE2B4},103014.940246214,230093374.741894
226,Tameside,E08000008,Benzene annual mean Limit Value 2020,0.56,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{0D361BBA-5B04-455A-8E76-F9F891C3A068},55989.0752712242,103154292.392485
227,Tamworth,E07000199,Benzene annual mean Limit Value 2020,0.37,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{35ADD025-B0D8-4769-9938-3358AEA9EED4},30730.0625358975,30850716.1908956
228,Tandridge,E07000215,Benzene annual mean Limit Value 2020,0.48,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{A4C8A678-4712-4B12-98F8-9D83E70A94E1},83136.9028111191,248194569.367405
229,Teignbridge,E07000045,Benzene annual mean Limit Value 2020,0.31,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{BBF3A764-522E-4A42-B0B9-6BBCCE132BBD},191464.02785335,673770656.969213
230,Telford and Wrekin,E06000020,Benzene annual mean Limit Value 2020,0.33,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{ACE180F3-9790-4722-82AF-EA211BA670CB},118780.033274165,290313545.188821
231,Tendring,E07000076,Benzene annual mean Limit Value 2020,0.53,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{2A300BAE-09C5-429C-84CD-AF35A4A74DEC},442501.365026217,336295380.413206
232,Test Valley,E07000093,Benzene annual mean Limit Value 2020,0.45,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{0DC34293-436F-4A43-9455-16D7933F0AE5},190816.352551876,627595190.71841
233,Tewkesbury,E07000083,Benzene annual mean Limit Value 2020,0.33,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{4A0F923C-E986-4EB5-8138-05B55DB7F584},204835.933707647,414414321.091512
234,Thanet,E07000114,Benzene annual mean Limit Value 2020,0.52,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{76A2B5DF-3DE6-424C-AD9C-2E7160C0D1A3},65350.7692378741,103609165.852632
235,Three Rivers,E07000102,Benzene annual mean Limit Value 2020,0.48,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{A35F6B87-0AF6-4AC4-9C29-A9E2C2F5749B},74112.6323982508,88824172.1167548
236,Thurrock,E06000034,Benzene annual mean Limit Value 2020,0.6,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{5DA2C467-FDFF-470B-9486-D5B7DD99B88B},115992.466452315,163837048.646129
237,Tonbridge and Malling,E07000115,Benzene annual mean Limit Value 2020,0.6,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{1FBBDFD1-A3A3-4A90-B907-1D4D5CF4BE2F},133211.401830683,240114268.776842
