Country code,Country name,Region code,Region name,LAD code,LAD name,Google sub region 1,Google sub region 2,Average distance to nearest park or public garden or playing field (m),Median distance to nearest park or public garden or playing field (m),Average size of nearest park or public garden or playing field (m2),Median size of nearest park or public garden or playing field (m2),"Average number of parks or public gardens or playing fields within 1,000 m radius","Median number of parks or public gardens or playing fields within 1,000 m radius","Average combined size of parks or public gardens or playing fields within 1,000 m radius (m2)","Median combined size of parks or public gardens or playing fields within 1,000 m radius (m2)",Population ,Average population per park or public garden or playing field,Median population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,Average percent change in mobility to parks from baseline during lockdown period,Average percent change in mobility to parks from baseline during post-lockdown period
E92000001,England,E12000002,North West,E08000002,Bury,Greater Manchester,Bury District,338.1,284.51,244771.33,26593.36,4.88,5,890321.11,198031,190108,8063.89,5895.41,14078,10037.29,215.62,69278,67940,183.8,41.54,68.12
E92000001,England,E12000002,North West,E08000003,Manchester,Greater Manchester,Manchester,312.7,291.61,85031.99,28181.37,4.94,5,359862.82,222296,547627,13414.29,11228.99,90898,44894.66,221.24,144433,141808,132.58,-10.51,12.95
E92000001,England,E12000002,North West,E08000004,Oldham,Greater Manchester,Oldham District,317.21,278.19,46682.39,24227.05,5.02,5,208059.75,175974,235623,8688.49,4595.63,16482,10268.44,249.94,81998,79619,145.85,46.81,78.51
E92000001,England,E12000002,North West,E08000005,Rochdale,Greater Manchester,Rochdale District,367.2,303.11,78337.66,29009.57,3.97,4,276812.1,175440,220001,8627.93,4651.47,14857,10124.27,208.58,80065,77449,180.77,37.02,75.12
E92000001,England,E12000002,North West,E08000006,Salford,Greater Manchester,Salford District,308.27,277.22,101764.16,38669.17,5.11,5,395059.1,234085,254408,8912.75,5880.51,40044,19867.87,271.79,81832,80131,160.17,30.98,41.72
E92000001,England,E12000002,North West,E08000007,Stockport,Greater Manchester,Metropolitan Borough of Stockport,271.73,243.89,123501.85,29242.94,6.45,6,617852.62,345253,291775,6447.68,3720.58,22872,12592.44,348.32,107480,105747,234.79,30.34,52.47
E92000001,England,E12000002,North West,E08000008,Tameside,Greater Manchester,Borough of Tameside,289.84,252.45,75986.09,21864.47,5.56,6,370867.85,300880,225197,7210.22,3763.89,18642,12725.84,204.01,84539,82603,165.73,43.42,70.35
E92000001,England,E12000002,North West,E08000009,Trafford,Greater Manchester,Trafford,290.09,271.64,46265.5,38449.01,5.27,5,212403.77,180835,236370,7370.1,4204.94,22642,15800.86,352.94,77851,77144,227.56,-27.72,6.67
E92000001,England,E12000002,North West,E08000010,Wigan,Greater Manchester,Metropolitan Borough of Wigan,347.7,283.67,106582.57,23844.28,4.8,5,486421,154658,326088,6960.36,3940.8,14694,9316.67,206.7,129973,126785,182.23,52.35,71.19
E92000001,England,E12000002,North West,E08000011,Knowsley,Merseyside,Metropolitan Borough of Knowsley,265.12,232.02,94065.9,43657.92,5.89,6,456785.84,292412,149571,6535.12,5821.61,8202,4974.95,220.41,60152,58323,180.09,13.21,32.38
