Location_name,Road_Pop_Lden>=55dB,Road_Pop_Lden>=60dB,Road_Pop_Lden>=65dB,Road_Pop_Lden>=70dB,Road_Pop_Lden>=75dB,Road_Pop_Lnight>=50dB,Road_Pop_Lnight>=55dB,Road_Pop_Lnight>=60dB,Road_Pop_Lnight>=65dB,Road_Pop_Lnight>=70dB,Railways_Pop_Lden>=55dB,Railways_Pop_Lden>=60dB,Railways_Pop_Lden>=65dB,Railways_Pop_Lden>=70dB,Railways_Pop_Lden>=75dB,Railways_Pop_Lnight>=50dB,Railways_Pop_Lnight>=55dB,Railways_Pop_Lnight>=60dB,Railways_Pop_Lnight>=65dB,Railways_Pop_Lnight>=70dB,Industry_Pop_Lden>=55dB,Industry_Pop_Lden>=60dB,Industry_Pop_Lden>=65dB,Industry_Pop_Lden>=70dB,Industry_Pop_Lden>=75dB,Industry_Pop_Lnight>=50dB,Industry_Pop_Lnight>=55dB,Industry_Pop_Lnight>=60dB,Industry_Pop_Lnight>=65dB,Industry_Pop_Lnight>=70dB,AgglomerationPopulation
Exeter,15900,7500,3800,2000,100,11000,5000,2200,100,0,4800,2400,1100,600,0,3000,1200,600,0,0,0,0,0,0,0,0,0,0,0,0,119000
Gloucester Urban Area,35200,11400,5600,1400,100,19300,7100,2000,200,0,6500,3500,1900,700,100,5100,2800,1400,300,0,300,200,100,0,0,300,200,100,0,0,148000
Grimsby,14100,9900,7200,2400,100,10200,7600,2600,100,0,1100,200,0,0,0,600,0,0,0,0,1000,700,500,300,200,1000,700,500,300,200,137000
Cleethorpes,14100,9900,7200,2400,100,10200,7600,2600,100,0,1100,200,0,0,0,600,0,0,0,0,1000,700,500,300,200,1000,700,500,300,200,137000
Hastings,21100,16400,12300,5900,0,17200,12800,6400,0,0,3000,1200,0,0,0,2100,400,0,0,0,300,100,0,0,0,300,100,0,0,0,135000
Bexhill,21100,16400,12300,5900,0,17200,12800,6400,0,0,3000,1200,0,0,0,2100,400,0,0,0,300,100,0,0,0,300,100,0,0,0,135000
High Wycombe Urban Area,45500,21600,12300,5000,200,31900,16300,6400,400,0,4200,2500,700,0,0,3100,1300,300,0,0,0,0,0,0,0,0,0,0,0,0,129000
Ipswich Urban Area,28600,15200,10800,5300,200,16200,11200,6100,500,0,7200,4300,1900,400,0,5900,3400,1200,200,0,500,100,0,0,0,500,200,100,0,0,160000
Lincoln Urban Area,9900,6300,4600,2200,0,6600,4800,2300,0,0,2500,1300,400,100,0,2000,1000,300,100,0,100,0,0,0,0,100,0,0,0,0,111000
Luton,57200,20500,10200,4300,200,34400,13100,5200,300,0,12200,7000,4400,2900,1000,9200,5600,3500,2000,300,0,0,0,0,0,0,0,0,0,0,271000
Dunstable,57200,20500,10200,4300,200,34400,13100,5200,300,0,12200,7000,4400,2900,1000,9200,5600,3500,2000,300,0,0,0,0,0,0,0,0,0,0,271000
Mansfield Urban Area,18600,9400,5900,2100,0,11200,6500,2400,0,0,1300,400,0,0,0,600,0,0,0,0,400,100,0,0,0,200,0,0,0,0,169000
Milton Keynes Urban Area,25200,7600,2200,200,0,11900,3300,500,0,0,5000,2800,1600,600,300,3900,2300,900,400,200,0,0,0,0,0,0,0,0,0,0,206000
Northampton Urban Area,55100,25000,14900,6200,100,31700,16300,7100,100,0,1600,600,200,0,0,1000,400,100,0,0,900,500,300,100,0,700,400,200,0,0,217000
Norwich Urban Area,28700,19100,13300,4400,200,19800,14000,4900,300,0,1600,1000,400,0,0,1300,700,100,0,0,0,0,0,0,0,0,0,0,0,0,209000
Nuneaton Urban Area,8200,4100,2300,500,0,5100,2700,600,0,0,8400,4600,2600,1200,400,6800,3800,2000,900,200,100,0,0,0,0,100,0,0,0,0,134000
Oxford,31900,19400,14300,5900,200,20100,14800,6800,200,0,3100,1700,800,300,0,2500,1300,500,100,0,0,0,0,0,0,0,0,0,0,0,166000
Peterborough,24000,11500,4900,1100,0,12900,5500,1400,0,0,5000,2700,1700,900,200,3900,2200,1200,500,0,300,0,0,0,0,200,0,0,0,0,153000
Plymouth,26200,13500,7500,3800,600,14700,7900,4000,600,0,7700,4300,2000,700,0,5700,2900,1300,200,0,1100,800,600,400,300,1100,800,600,400,300,266000
Slough Urban Area,83600,27400,11900,4500,500,54600,16000,6300,1100,0,15100,9700,6100,3900,2000,12100,7600,4800,3100,900,500,100,0,0,0,400,0,0,0,0,165000
Southport,13600,10500,6100,1100,0,10900,6700,1400,0,0,3300,1500,100,0,0,2000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
Formby,13600,10500,6100,1100,0,10900,6700,1400,0,0,3300,1500,100,0,0,2000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,115000
St Albans,46400,15500,7900,3000,200,25900,9900,3800,400,0,7500,4100,2100,1200,500,5000,2700,1400,700,300,0,0,0,0,0,0,0,0,0,0,140000
Hatfield,46400,15500,7900,3000,200,25900,9900,3800,400,0,7500,4100,2100,1200,500,5000,2700,1400,700,300,0,0,0,0,0,0,0,0,0,0,140000
Sunderland Urban Area,21600,12000,7100,3100,100,13100,7700,3300,100,0,2200,900,300,0,0,1100,500,100,0,0,0,0,0,0,0,0,0,0,0,0,179000
Swindon,26400,10300,5400,2300,0,14500,6400,2700,100,0,5800,3500,2300,1100,200,4700,2900,1600,600,0,300,100,100,0,0,100,100,100,0,0,172000
Telford Urban Area,21500,7000,2200,400,100,11700,3400,700,200,0,900,300,0,0,0,600,100,0,0,0,0,0,0,0,0,0,0,0,0,0,140000
Thanet,12900,8900,6400,3000,0,9400,6700,3400,0,0,7100,4600,2200,200,0,6000,3700,1300,100,0,300,100,0,0,0,300,100,0,0,0,130000
The Medway Towns Urban Area,46500,23400,13600,6000,400,31500,16200,7000,700,0,5500,3200,1400,100,0,4200,2200,600,0,0,0,0,0,0,0,0,0,0,0,0,250000
Torbay,14200,9200,6800,4300,500,9800,7100,4500,600,0,1000,300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113000
Warrington Urban Area,76500,25400,9300,2900,100,50700,14200,4000,100,0,5800,3200,1200,400,0,4200,1600,600,300,0,600,100,0,0,0,400,100,0,0,0,166000
Wigan Urban Area,58800,23900,13600,6600,500,38300,16700,7900,900,0,6300,3400,1900,900,200,5100,2900,1500,700,100,1100,600,300,100,0,700,300,100,0,0,173000
York,17100,10900,7900,3900,0,11600,8200,4300,0,0,5700,2800,1100,500,100,3800,1800,900,300,0,1000,700,500,400,200,800,600,400,400,200,160000
Major sources (outside agglomerations),3465500,1625300,886100,334400,29300,2200600,1066600,403700,42700,2100,403800,226000,113500,46200,11300,308100,165900,76000,26900,5000,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
