location_name,area long label,code,Persons per hectare
Stoke-on-Trent,Stoke-on-Trent (Unitary),E06000021,27.46
Stratford-on-Avon,Stratford-on-Avon (District),E07000221,1.35
Stroud,Stroud (District),E07000082,2.63
Suffolk,Suffolk (County),E10000029,2
Sunderland,Sunderland (Metropolitan borough),E08000024,20.22
Surrey,Surrey (County),E10000030,7.22
Surrey Heath,Surrey Heath (District),E07000214,9.38
Sutton,Sutton (London borough),E09000029,47.37
Swale,Swale (District),E07000113,4.04
Swindon,Swindon (Unitary),E06000030,9.69
Tameside,Tameside (Metropolitan borough),E08000008,22.02
Tamworth,Tamworth (District),E07000199,24.91
Tandridge,Tandridge (District),E07000215,3.57
Teignbridge,Teignbridge (District),E07000045,2
Telford and Wrekin,Telford and Wrekin (Unitary),E06000020,6.25
Tendring,Tendring (District),E07000076,4.38
Test Valley,Test Valley (District),E07000093,2.03
Tewkesbury,Tewkesbury (District),E07000083,2.33
Thanet,Thanet (District),E07000114,13.65
Three Rivers,Three Rivers (District),E07000102,10.58
Thurrock,Thurrock (Unitary),E06000034,10.71
Tonbridge and Malling,Tonbridge and Malling (District),E07000115,5.52
Torbay,Torbay (Unitary),E06000027,21.66
Torridge,Torridge (District),E07000046,0.7
Tower Hamlets,Tower Hamlets (London borough),E09000030,167.91
Trafford,Trafford (Metropolitan borough),E08000009,22.4
Tunbridge Wells,Tunbridge Wells (District),E07000116,3.59
Uttlesford,Uttlesford (District),E07000077,1.45
Vale of White Horse,Vale of White Horse (District),E07000180,2.39
Wakefield,Wakefield (Metropolitan borough),E08000036,10.38
Walsall,Walsall (Metropolitan borough),E08000030,27.58
Waltham Forest,Waltham Forest (London borough),E09000031,71.36
Wandsworth,Wandsworth (London borough),E09000032,96.24
Warrington,Warrington (Unitary),E06000007,11.59
Warwick,Warwick (District),E07000222,5.12
Warwickshire,Warwickshire (County),E10000031,2.96
Watford,Watford (District),E07000103,45.09
Waverley,Waverley (District),E07000216,3.67
Wealden,Wealden (District),E07000065,1.95
Welwyn Hatfield,Welwyn Hatfield (District),E07000241,9.56
West Berkshire,West Berkshire (Unitary),E06000037,2.25
West Devon,West Devon (District),E07000047,0.48
West Lancashire,West Lancashire (District),E07000127,3.3
West Lindsey,West Lindsey (District),E07000142,0.83
West Northamptonshire,West Northamptonshire,E06000062,2.95
West Oxfordshire,West Oxfordshire (District),E07000181,1.56
West Suffolk,West Suffolk (District),E07000245,1.71
West Sussex,West Sussex (County),E10000032,4.36
Westminster,Westminster (London borough),E09000033,125.61
Wigan,Wigan (Metropolitan borough),E08000010,17.58
Wiltshire,Wiltshire (Unitary),E06000054,1.55
Winchester,Winchester (District),E07000094,1.91
Windsor and Maidenhead,Windsor and Maidenhead (Unitary),E06000040,7.7
Wirral,Wirral (Metropolitan borough),E08000015,20.15
Woking,Woking (District),E07000217,15.72
Wokingham,Wokingham (Unitary),E06000041,9.72
Wolverhampton,Wolverhampton (Metropolitan borough),E08000031,38.08
Worcester,Worcester (District),E07000237,30.13
Worcestershire,Worcestershire (County),E10000034,3.44
Worthing,Worthing (District),E07000229,34.05
Wychavon,Wychavon (District),E07000238,1.98
Wyre,Wyre (District),E07000128,4.01
Wyre Forest,Wyre Forest (District),E07000239,5.18
York,York (Unitary),E06000014,7.76
England,England (Country),E92000001,4.34
